ID,SampleID,SampleType,Specimen type,Type,Read count,Corynebacterium,Kocuria,Micrococcus,Friedmanniella,Cutibacterium,Deinococcus,Staphylococcus,Streptococcus,Finegoldia,Paracoccus,Acinetobacter,Moraxella,Pseudomonas,Aureobasidium,Parastagonospora,Aspergillus,Botrytis,Hebeloma,Serpula,Postia,Grifola,Fomitiporia,Escherichia,Klebsiella,Coprinopsis,Ganoderma,Wolfiporia,Pestalotiopsis,Prevotella,Veillonella,Malassezia,Methylibium,Stereum,Heterobasidion,Trametes,Trichoderma,Schizophyllum,Dichomitus,Others
75,HMSP1520,Indoor air,Sample,Samples,7579,0.633328935,0.065971764,0.026388706,0,0.039583058,0.026388706,0.039583058,0.052777411,0,0.013194353,0.105554823,0.105554823,0.065971764,0,0,0.42221929,0,0,3.83955667,6.808286054,8.642301095,0,0,0,3.958305845,4.552051722,0,0,0,0,0.540968465,0,0,0,4.789550073,0.079166117,33.17060298,28.16994326,3.852751028
76,HMSP1521,Outdoor air,Sample,Samples,7664,0.052192067,0,0,0,0,0,0.03914405,0,0,0.013048017,0.0782881,0.026096033,0.052192067,0,0,0.091336117,0,0,4.070981211,5.975991649,8.076722338,0,0,0,3.75782881,4.90605428,5.336638831,0,0,0,0.1565762,0,0,0,4.123173278,0,32.86795407,26.87891441,3.496868472
77,HMSP1522,Surface,Sample,Samples,2105,8.361045131,1.09263658,0.475059382,0,0.427553444,0.190023753,1.995249406,0.665083135,0.522565321,0.855106888,1.90023753,1.995249406,0.760095012,0,0,35.29691211,0,0,0,0.475059382,1.377672209,3.325415677,1.09263658,1.472684086,1.520190024,1.425178147,0.380047506,1.09263658,0.095011876,0,5.41567696,0,0,0,0.665083135,0,1.947743468,6.935866983,18.24228029
78,HMSP1540,Indoor air,Sample,Samples,6906,0.260642919,0.043440487,0.028960324,0,0.014480162,0.057920649,0.014480162,0.028960324,0,0.159281784,0.20272227,0.086880973,0.217202433,0,0,1.230813785,0,0,4.459889951,6.863596872,9.10802201,0,0,0,2.316825948,4.706052708,0,0,0.014480162,0,0.839849406,0,0,0,5.705183898,0.20272227,28.43903852,27.88879235,7.109759633
79,HMSP1541,Outdoor air,Sample,Samples,5857,0.068294349,0.017073587,0,0,0.017073587,0,0.034147174,0,0,0.051220761,0.307324569,0.034147174,0.051220761,0,0,0.11951511,0,0,3.824483524,6.726993341,8.468499232,0,0,0,1.912241762,5.105002561,4.370838313,0,0,0,0.256103807,0,0,0,4.968413864,0,29.48608503,28.54703773,5.634283764
80,HMSP1542,Surface,Sample,Samples,8361,0.98074393,0.466451381,0.621935175,0,0.143523502,0.275086712,0.227245545,0.346848463,0.071761751,1.315632101,0.502332257,0.777418969,0.574094008,0,0,4.64059323,0,0,0,2.81066858,4.64059323,13.28788422,0.346848463,0.287047004,2.332256907,5.669178328,2.009329028,2.212653989,0.047841167,0.011960292,5.537615118,0,0,0,2.67910537,0,19.11254635,19.53115656,8.53964837
81,HMSP1545,Indoor air,Sample,Samples,11212,0.178380307,0.463788798,1.765965037,0,0.205137353,0.098109169,0.026757046,0.098109169,0,2.631109526,1.275419194,1.337852301,2.238672851,0,0,0.633250089,0,0,1.801641099,2.443810203,3.326792722,0,0,0,2.657866572,2.211915804,0,0,0.008919015,0,0.91865858,0,0,0,2.363539065,0.124866215,51.67677488,17.39207991,4.120585095
82,HMSP1546,Outdoor air,Sample,Samples,11900,0.243697479,0.697478992,3.403361345,0,0.277310924,0,0.142857143,0,0,6.43697479,2.025210084,3.319327731,0.117647059,0,0,0.084033613,0,0,1.789915966,2.621848739,2.924369748,0,0,0,2.352941176,1.714285714,1.537815126,0,0,0,0.806722689,0,0,0,1.857142857,0,46.95798319,15.91596639,4.773109245
83,HMSP1547,Surface,Sample,Samples,12318,0.771229096,1.436921578,3.799318071,0,0.901120312,0.235427829,1.518103588,1.607403799,0.259782432,16.26887482,6.827407047,4.221464523,8.824484494,0,0,12.35590193,0,0,0,0.430264653,0.754992694,1.420685176,1.599285598,1.347621367,1.859068031,0.40591005,0.308491638,2.687124533,0.276018834,0.129891216,2.289332684,0,0,0,0.414028251,0,5.017048222,2.484169508,19.54862803
84,HMSP1551,Indoor air,Sample,Samples,7919,3.81361283,0.782927137,0.505114282,0,0.745043566,2.39929284,1.073367849,0.315696426,0,1.831039273,1.502714989,1.704760702,0.42934714,0,0,4.823841394,0,0,3.611567117,3.990402829,6.263417098,0,0,0,2.702361409,3.81361283,0,0,0,0,11.09988635,0,0,0,4.129309256,0.037883571,3.649450688,33.94367976,6.831670664
